,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن الف طن,القيمة (مليون ريال),عام  2016  Year,,,,,,,,,Weight Thousands Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
3591,70193900,غيرها من حشيات (مراتب)ـ  غير نسجيه،..الخ، من الياف زجاجيه, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"OTHER NONWOVEN MATTRESSES, ETC., OF GLASS FIBERS",70193900,
3592,70199010,مصنوعات من الياف زجاجيه لمعدات النقل,دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries,TRANSPORTATION EQUIPMENT OF GLASS FIBERS,70199010,
3593,70199010,مصنوعات من الياف زجاجيه لمعدات النقل, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,TRANSPORTATION EQUIPMENT OF GLASS FIBERS,70199010,
3594,70199020,خزانات المياه من الياف زجاجيه,دول مجلس التعاون الخليجي,0,2,11,0,0,0,0,2,11,Gulf Cooperation Council,WATER TANKS OF GLASS FIBERS,70199020,
3595,70199020,خزانات المياه من الياف زجاجيه,دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries,WATER TANKS OF GLASS FIBERS,70199020,
3596,70199020,خزانات المياه من الياف زجاجيه, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,WATER TANKS OF GLASS FIBERS,70199020,
3597,70199040,عوازل (الحرارة، الصوت، الكهرباء) من ألياف زجاجية,دول مجلس التعاون الخليجي,0,7,50,0,0,0,0,7,50,Gulf Cooperation Council,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040,
3598,70199040,عوازل (الحرارة، الصوت، الكهرباء) من ألياف زجاجية,دول الجامعة العربية الاخرى,0,0,2,0,1,4,0,2,6,Other Arab League Countries,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040,
3599,70199040,عوازل (الحرارة، الصوت، الكهرباء) من ألياف زجاجية,دول اسلامية عدا العربية,0,0,2,0,0,0,0,0,2,Islamic not Arabic countries,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040,
3600,70199040,عوازل (الحرارة، الصوت، الكهرباء) من ألياف زجاجية,دول اسيوية عدا العربية والاسلامية,0,0,3,0,0,0,0,0,3,"Asian not Arabic ,not Islamic","INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040,
