,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,R
0,,,,Exports According to commodities,,,,,,,,,,,
1,,الوزن طن,القيمة بالالف ريال,عام  2013  Year,,,,,,,,,Weight Tons,Value  (000 S R),
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,
7046,84261100,جسور متحركه على قواعد ثابته,مجموعات دول آخرى,0,0,0,0,62,209,0,62,209,Other Country Groups,OVERHEAD TRAVELLING CRANES ON FIXED SUPPORT,84261100
7047,84261900,غيرها من روافع(كرينات)ـ نقل، وروافع قنطريه ومايماثلها,مجموعات دول آخرى,0,0,0,0,29,99,0,29,99,Other Country Groups,"TRANSPORTER CRANES, BRIDGE CRANES AND THE LIKE",84261900
7048,84262000,روافع ( كرينات )ـ  برجيه,مجموعات دول آخرى,0,0,0,0,10,114,0,10,114,Other Country Groups,TOWER CRANES,84262000
7049,84263000,روافع ( كرينات )ـ  بهياكل متحركه على خط حديدى,مجموعات دول آخرى,0,0,0,0,0,0,0,0,0,Other Country Groups,PORTAL OR PEDESTAL JIB CRANES,84263000
7050,84264100,اجهزه والات رفع ذاتيه الحركه اخر ومايماثلها على اطارات,مجموعات دول آخرى,0,0,0,0,20,16,0,20,16,Other Country Groups,OTHER SELF-PROPELLED DERRICKS AND THE LIKE ON TIRES,84264100
7051,84264900,غيرها من اجهزه والات رفع ذاتيه الحركه ومايماثلها,مجموعات دول آخرى,0,0,0,0,214,364,0,214,364,Other Country Groups,OTHER SELF-PROPELLED DERRICKS AND THE LIKE,84264900
7052,84269900,غيرها من اجهزه والات رفع ومايماثلها غير داخله فى بند اخر,مجموعات دول آخرى,0,0,0,0,20,137,0,20,137,Other Country Groups,OTHER DERRICKS AND THE LIKE NOT ELSEWHERE SPECIFIED,84269900
7053,84272000,عربات اخر ذاتيه الحركه للمناوله والتنضيد,مجموعات دول آخرى,0,0,0,0,0,1,0,0,1,Other Country Groups,OTHER SELF-PROPELLED TRUCKS FOR HANDLING,84272000
7054,84279000,عربات اخر للمناوله والتنضيد,مجموعات دول آخرى,0,0,0,0,18,180,0,18,180,Other Country Groups,OTHER TRUCKS FOR HANDLING EQUIPMENT,84279000
7055,84281000,مصاعد وروافع للاشخاص،اوالبضائع وروافع ذات قواديس،,مجموعات دول آخرى,0,0,0,0,32,350,0,32,350,Other Country Groups,LIFTS AND SKIP HOISTS,84281000
7056,84283900,غيرها من المصاعد والناقلات المستمره الحركه,مجموعات دول آخرى,0,0,0,0,1,46,0,1,46,Other Country Groups,OTHER CONTINUOUS-ACTION ELEVATORS AND CONVEYORS,84283900
7057,84289000,غيرها من الات واجهزه رفع ومناوله وتنضيد وتحميل وتفريغ,مجموعات دول آخرى,0,0,0,0,8,19,0,8,19,Other Country Groups,"OTHER LIFTING, HANDLING AND LOADING MACHINERY",84289000
7058,84291100,بولدوزرات وانجلدوزرات بجنازير,مجموعات دول آخرى,0,0,0,0,0,0,0,0,0,Other Country Groups,TRACK LAYING BULLDOZERS AND ANGLEDOZERS,84291100
7059,84292000,اجهزه تسويه,مجموعات دول آخرى,0,0,0,2,6,150,2,6,150,Other Country Groups,GRADERS AND LEVELLERS,84292000
7060,84294000,الات دك ومحادل رصف الطرق,مجموعات دول آخرى,0,0,0,1,0,1,1,0,1,Other Country Groups,TAMPING MACHINES AND ROAD ROLLERS,84294000
7061,84295900,غيرها من مجارف اليه واجهزه استخراج ومحملات,مجموعات دول آخرى,0,0,0,1,14,203,1,14,203,Other Country Groups,OTHER MECHANICAL SHOVELS AND EXCAVATORS,84295900
7062,84301000,مرسيات اوتاد ونازعاتها,مجموعات دول آخرى,0,0,0,0,15,281,0,15,281,Other Country Groups,PILE-DRIVERS AND PILE-EXTRACTORS,84301000
7063,84303100,قاطعات صخور واليات شق الانفاق ذاتيه الحركيه,مجموعات دول آخرى,0,0,0,1,12,28,1,12,28,Other Country Groups,SELF-PROPELLED ROCK CUTTERS AND TUNNELLING MACHINERY,84303100
7064,84303900,غيرها من قاطعات صخور واليات شق الانفاق,مجموعات دول آخرى,0,0,0,0,18,251,0,18,251,Other Country Groups,OTHER ROCK-CUTTERS AND TUNNELLING MACHINERY,84303900
7065,84304100,الات ثقب او حفر عمودى ذاتيه الحركه,مجموعات دول آخرى,0,0,0,2,13,373,2,13,373,Other Country Groups,SELF-PROPELLED BORING OR SINKING MACHINERY,84304100
7066,84304900,غيرها من الات ثقب او حفر عمودى,دول اوروبا عدا دول الاتحاد الأوروبي,0,0,0,0,20,1238,0,20,1238,Europe not European Union,OTHER BORING OR SINKING MACHINERY,84304900
7067,84304900,غيرها من الات ثقب او حفر عمودى,مجموعات دول آخرى,0,0,0,0,10,127,0,10,127,Other Country Groups,OTHER BORING OR SINKING MACHINERY,84304900
7068,84305000,الات واجهزه اخر،ذاتيه الحركه،للتمهيد والتسويه ومايماثلها,مجموعات دول آخرى,0,0,0,18,40,228,18,40,228,Other Country Groups,OTHER SELF-PROPELLED GRADING AND SIMILAR MACHINERY,84305000
7069,84306900,غيرها من الات واجهزه اخر غير ذاتيه الحركه,مجموعات دول آخرى,0,0,0,0,25,140,0,25,140,Other Country Groups,"OTHER GRADING AND SIMILAR MACHINERY, NOT SELF-PROPELLED",84306900
7070,84311000,اجزاءللروافع ذات البكرات واسطوانات وعفريتات ومايماثلها,مجموعات دول آخرى,0,0,0,0,9,149,0,9,149,Other Country Groups,"PARTS FOR PULLEYS, TACKLES, WINCHES AND THE LIKE",84311000
7071,84312000,اجزاءلاليات الرفع والتنفيذوالعربات المجهزه بمعدات رفع,مجموعات دول آخرى,0,0,0,0,31,387,0,31,387,Other Country Groups,PARTS FOR LIFTING AND HANDLING TRUCKS AND MACHINERY,84312000
7072,84313100,اجزاء للمصاعد والروافع القادوسيه والسلالم المتحركه,مجموعات دول آخرى,0,0,0,0,18,120,0,18,120,Other Country Groups,"PARTS OF LIFTS, SKIP HOISTS OR ESCALATORS",84313100
7073,84313900,غيرها من اجزاء لاليات الرفع والتحميل,مجموعات دول آخرى,0,0,0,0,22,226,0,22,226,Other Country Groups,OTHER PARTS FOR LIFTING AND LOADING MACHINERY,84313900
7074,84314100,اجزاء للقواديس، والمجارف والخطاطيف والكلاليب,مجموعات دول مختلفة,0,0,0,0,154,534,0,154,534,Diffrent Country Groups,"PARTS FOR BUCKETS, SHOVELS, GRABS AND GRIPS",84314100
7075,84314310,أجزاء مثقاب حفر الابار,مجموعات دول آخرى,0,0,0,0,1,136,0,1,136,Other Country Groups,PARTS FOR WELL BORING DRILLS,84314310
7076,84314390,غيرهامن أجزاءلالات حفر وسبرالاعماق,دول اوروبا عدا دول الاتحاد الأوروبي,0,0,0,0,28,880,0,28,880,Europe not European Union,OTHER PARTS OF BORING MACHINERY,84314390
7077,84314900,غيرها من اجزاء للالات للاصناف الداخله فى البنود30/8426/84،29/84،,دول اوروبا عدا دول الاتحاد الأوروبي,0,1,873,0,3,4586,0,4,5459,Europe not European Union,"OTHER PARTS FOR HEADINGS 84.26, 84.29 OR 84.30",84314900
7078,84314900,غيرها من اجزاء للالات للاصناف الداخله فى البنود30/8426/84،29/84،,مجموعات دول آخرى,0,0,0,0,0,24,0,0,24,Other Country Groups,"OTHER PARTS FOR HEADINGS 84.26, 84.29 OR 84.30",84314900
7079,84328000,غيرها من الات واجهزه وادوات للزراعه والتشجير ومايماثلها,دول اوروبا عدا دول الاتحاد الأوروبي,0,225,2391,0,0,0,0,225,2391,Europe not European Union,"OTHER MACHINERY FOR AGRICULTURE, FORESTRY AND THE LIKE",84328000
