
"Paid Bill";"Due On";"Billed Amount";"Already Paid";"Currency";"Status";"Payment Method"
"206639452  EXP?CREDIT";"Jan 21, 2021";-200.00;-200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206639452  S_EXP?CREDIT";"Oct 27, 2021";-5,898.72;-5,898.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207283205  EXPORT";"Mar 16, 2021";11,700.72;11,700.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT050859  EXPORT";"Feb 23, 2021";8,880.72;8,880.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207283205  EXPORT";"Mar 16, 2021";1,200.00;1,200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207466343  EXPORT";"Feb 21, 2021";8,542.32;8,542.32;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207267304  S_EXP?CREDIT";"Feb 4, 2021";-200.00;-200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207287087  S_EXP?CREDIT";"Feb 4, 2021";-1,000.00;-1,000.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207286439  S_EXP?CREDIT";"Feb 4, 2021";-200.00;-200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"208902628  EXPORT";"Oct 27, 2021";1,128.00;1,128.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT062141  EXPORT";"Feb 28, 2021";9,177.76;9,177.76;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT050857  EXPORT";"Feb 24, 2021";9,474.80;9,474.80;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT056446  EXPORT";"Feb 23, 2021";9,237.92;9,237.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"208968065  EXPORT";"Oct 27, 2021";752.00;752.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911787364  EXPORT";"Feb 24, 2021";9,343.20;9,343.20;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911787364  EXPORT";"Feb 23, 2021";600.00;600.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT054269";"Mar 14, 2021";-7,395.43;-7,395.43;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT054269  EXPORT";"Mar 14, 2021";9,298.08;9,298.08;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT054269";"Mar 23, 2021";-1,902.65;-1,902.65;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT062142  EXPORT";"Feb 28, 2021";9,414.64;9,414.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT060818  EXPORT";"Mar 14, 2021";10,008.72;10,008.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT060818";"Mar 14, 2021";-7,418.08;-7,418.08;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT060818";"Mar 23, 2021";-2,590.64;-2,590.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911787364  S_EXP?CREDIT";"Oct 27, 2021";-1,880.00;-1,880.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069200";"Mar 23, 2021";-5,898.72;-5,898.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069200  EXPORT";"Mar 14, 2021";12,298.56;12,298.56;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069200";"Mar 14, 2021";-6,399.84;-6,399.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT068407  EXPORT";"Apr 4, 2021";11,230.72;11,230.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069154  EXPORT";"Mar 24, 2021";11,125.44;11,125.44;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069050  EXPORT";"Apr 11, 2021";13,622.08;13,622.08;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069051  EXPORT";"Apr 15, 2021";13,622.08;13,622.08;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069051";"Apr 15, 2021";-356.00;-356.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069051";"Apr 15, 2021";-13,266.08;-13,266.08;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069050  S_EXP?CREDIT";"Oct 27, 2021";-1,838.64;-1,838.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"208207997  EXPORT";"Apr 20, 2021";16,791.76;16,791.76;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT068441  EXPORT";"Apr 20, 2021";13,625.84;13,625.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069049  EXPORT";"Apr 11, 2021";13,625.84;13,625.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT072235  EXPORT";"Apr 20, 2021";13,625.84;13,625.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069054  EXPORT";"Mar 21, 2021";14,140.96;14,140.96;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069056  EXPORT";"Apr 20, 2021";560.24;560.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069056  EXPORT";"Apr 20, 2021";13,264.88;13,264.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069053  EXPORT";"Apr 4, 2021";12,888.88;12,888.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069053  EXPORT";"Apr 4, 2021";560.24;560.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069052  EXPORT";"Mar 21, 2021";24,232.80;24,232.80;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069055";"Mar 30, 2021";-33.00;-33.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069055";"Mar 30, 2021";-8,144.60;-8,144.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069055  EXPORT";"Mar 30, 2021";8,177.60;8,177.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT074263  EXPORT";"Apr 11, 2021";13,174.64;13,174.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT072235  S_EXP?CREDIT";"Oct 27, 2021";-1,902.56;-1,902.56;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT069049  S_EXP?CREDIT";"Oct 27, 2021";-2,590.64;-2,590.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207234204  EXPORT";"Apr 14, 2021";15,024.56;15,024.56;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT076331  EXPORT";"Apr 20, 2021";13,607.04;13,607.04;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT072233  EXPORT";"Apr 11, 2021";12,798.64;12,798.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911917870  EXPORT";"Mar 21, 2021";33,817.04;33,817.04;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911917870  IMP?CREDIT";"Mar 10, 2021";-37,464.24;-37,464.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT056447  EXPORT";"Apr 14, 2021";11,249.52;11,249.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911917870  EXPORT";"Mar 21, 2021";3,360.00;3,360.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911917870  IMPORT";"Oct 27, 2021";233.12;233.12;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT082812  EXPORT";"May 10, 2021";13,945.44;13,945.44;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT082811  EXPORT";"May 10, 2021";13,625.84;13,625.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT074349  EXPORT";"Apr 11, 2021";13,689.76;13,689.76;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT082123  EXPORT";"Apr 15, 2021";14,065.76;14,065.76;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207234204  EXPORT";"Apr 11, 2021";400.00;400.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207234204  S_EXP?CREDIT";"Oct 27, 2021";-413.60;-413.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT072234  EXPORT";"Apr 20, 2021";14,084.56;14,084.56;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT083755  EXPORT";"Apr 27, 2021";8,166.32;8,166.32;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT084107  EXPORT";"Apr 27, 2021";8,166.32;8,166.32;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT084584  EXPORT";"Sep 20, 2021";13,625.84;13,625.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT082122  EXPORT";"Apr 27, 2021";7,248.88;7,248.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT083567  EXPORT";"Apr 27, 2021";16,408.24;16,408.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT084585  EXPORT";"May 10, 2021";14,362.80;14,362.80;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT084108  EXPORT";"May 18, 2021";13,546.88;13,546.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT088779  EXPORT";"Apr 20, 2021";14,336.48;14,336.48;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT082813  EXPORT";"May 10, 2021";14,362.80;14,362.80;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT094200  EXPORT";"May 18, 2021";14,693.68;14,693.68;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT091500  EXPORT";"Apr 27, 2021";8,365.60;8,365.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT096621  EXPORT";"Apr 20, 2021";14,851.60;14,851.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT096569  EXPORT";"May 4, 2021";14,712.48;14,712.48;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT091470  EXPORT";"Apr 15, 2021";3,624.24;3,624.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT074350  EXPORT";"May 19, 2021";14,114.64;14,114.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT093900  EXPORT";"May 19, 2021";14,016.88;14,016.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT074350  EXPORT";"May 19, 2021";573.42;573.42;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT096569  EXPORT";"May 6, 2021";575.83;575.83;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT088779  EXPORT";"Apr 27, 2021";582.72;582.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT096621  EXPORT";"Apr 27, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT074350  EXPORT";"May 19, 2021";2,800.00;2,800.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT098442  EXPORT";"Jul 7, 2021";14,892.96;14,892.96;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT102753  EXPORT";"Jun 15, 2021";14,633.52;14,633.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT102753  EXPORT";"Jun 15, 2021";360.00;360.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT108759  EXPORT";"May 24, 2021";12,719.68;12,719.68;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT108071  EXPORT";"Sep 20, 2021";14,114.64;14,114.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT092522  EXPORT";"May 12, 2021";12,422.64;12,422.64;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"210037838  EXPORT";"Oct 27, 2021";225.60;225.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT115625  EXPORT";"Jun 3, 2021";12,719.68;12,719.68;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT112173  EXPORT";"May 31, 2021";12,802.40;12,802.40;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT115625  EXPORT";"Oct 27, 2021";600.00;600.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT112173  EXPORT";"May 31, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT108256  EXPORT";"Jun 14, 2021";12,385.04;12,385.04;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT115577  EXPORT";"Jun 17, 2021";13,005.44;13,005.44;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT123399  EXPORT";"Jun 9, 2021";14,430.48;14,430.48;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT108256  EXPORT";"Jun 14, 2021";1,400.00;1,400.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT120471  EXPORT";"Jul 8, 2021";18,303.28;18,303.28;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT131310  EXPORT";"Jun 28, 2021";12,283.52;12,283.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT120471  EXPORT";"Jul 8, 2021";1,560.00;1,560.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT115625  EXPORT";"Jun 3, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT123399  EXPORT";"Jun 10, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT102046  EXPORT";"Jun 21, 2021";15,487.04;15,487.04;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129120  EXPORT";"Jun 30, 2021";11,937.60;11,937.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129156  EXPORT";"Jul 14, 2021";11,975.20;11,975.20;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129268  EXPORT";"Jul 11, 2021";17,690.40;17,690.40;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT131215  EXPORT";"Jul 14, 2021";12,125.60;12,125.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT130383  EXPORT";"Jul 8, 2021";7,570.42;7,570.42;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT103390  EXPORT";"May 30, 2021";12,309.82;12,309.82;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT123398";"Jun 28, 2021";-12,283.52;-12,283.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT123398";"Jun 28, 2021";-1,985.28;-1,985.28;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT123398  EXPORT";"Jun 28, 2021";14,268.80;14,268.80;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT102046  EXPORT";"Jun 21, 2021";2,300.00;2,300.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129120  EXPORT";"Jun 30, 2021";600.00;600.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129268  EXPORT";"Jul 12, 2021";1,560.00;1,560.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT123398  EXPORT";"Jun 28, 2021";2,600.00;2,600.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129269  EXPORT";"Jul 13, 2021";20,630.72;20,630.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT148897  EXPORT";"Jul 1, 2021";12,467.76;12,467.76;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT152418  EXPORT";"Jul 15, 2021";14,226.19;14,226.19;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT152505  EXPORT";"Jun 7, 2021";3,894.96;3,894.96;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129269  EXPORT";"Jul 13, 2021";1,560.00;1,560.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT147591  EXPORT";"Jul 18, 2021";12,398.95;12,398.95;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT154580  EXPORT";"Jul 14, 2021";12,464.00;12,464.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT149110  EXPORT";"Jul 11, 2021";12,467.76;12,467.76;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
