,Unnamed: 0.1,Quantity/Units,Weight(Tons),Value(1000 SAR),Country Group,Commodity,Commodity Code
889,27101122,0,109114,361233,"African not Arabic,not Islamic",JET AIRPLANE FUEL,27101122
890,27101122,0,102701,372812,North America,JET AIRPLANE FUEL,27101122
891,27101122,0,2161172,7049672,European Union,JET AIRPLANE FUEL,27101122
892,27101131,0,94749,243078,Other Arab League Countries,ENGINE DIESEL,27101131
893,27101131,0,35629,91148,"Asian not Arabic ,not Islamic",ENGINE DIESEL,27101131
894,27101131,0,523408,1292935,European Union,ENGINE DIESEL,27101131
895,27101133,0,50474,160984,"Asian not Arabic ,not Islamic",DIESEL FOR HEATING,27101133
896,27101141,0,201661,624647,Gulf Cooperation Council,BUNKER  OIL,27101141
897,27101141,0,41510,99471,"Asian not Arabic ,not Islamic",BUNKER  OIL,27101141
898,27101141,0,129208,381349,European Union,BUNKER  OIL,27101141
899,27101212,0,1915360,4640607,Gulf Cooperation Council,FULL WHOLE NAPHTHA,27101212
900,27101212,0,409867,921467,Other Arab League Countries,FULL WHOLE NAPHTHA,27101212
901,27101212,0,186806,516324,Islamic not Arabic countries,FULL WHOLE NAPHTHA,27101212
902,27101212,0,7217008,20987159,"Asian not Arabic ,not Islamic",FULL WHOLE NAPHTHA,27101212
903,27101212,0,85065,273175,North America,FULL WHOLE NAPHTHA,27101212
904,27101214,0,809548,2159357,Gulf Cooperation Council,NATURAL GASOLINE,27101214
905,27101214,0,292075,866371,Other Arab League Countries,NATURAL GASOLINE,27101214
906,27101214,0,136740,409591,Islamic not Arabic countries,NATURAL GASOLINE,27101214
907,27101214,0,49055,150949,"Asian not Arabic ,not Islamic",NATURAL GASOLINE,27101214
908,27101214,0,403652,1138040,"African not Arabic,not Islamic",NATURAL GASOLINE,27101214
909,27101214,0,396222,1201264,South America,NATURAL GASOLINE,27101214
910,27101229,0,651657,1910367,Gulf Cooperation Council,FUEL FOR   OTHER PURPOSES,27101229
911,27101229,0,510558,1490653,Other Arab League Countries,FUEL FOR   OTHER PURPOSES,27101229
912,27101229,0,80120,213432,Islamic not Arabic countries,FUEL FOR   OTHER PURPOSES,27101229
913,27101229,0,2057060,5110996,"Asian not Arabic ,not Islamic",FUEL FOR   OTHER PURPOSES,27101229
914,27101229,0,128694,401332,"African not Arabic,not Islamic",FUEL FOR   OTHER PURPOSES,27101229
915,27101229,0,218240,708632,North America,FUEL FOR   OTHER PURPOSES,27101229
916,27101229,0,59500,188980,South America,FUEL FOR   OTHER PURPOSES,27101229
917,27101229,0,1701750,5259760,European Union,FUEL FOR   OTHER PURPOSES,27101229
918,27101239,0,1284672,3730638,Gulf Cooperation Council,DIESEL FOR OTHER PURPOSES .,27101239
919,27101239,0,2487738,7148726,Other Arab League Countries,DIESEL FOR OTHER PURPOSES .,27101239
920,27101239,0,65968,184334,Islamic not Arabic countries,DIESEL FOR OTHER PURPOSES .,27101239
921,27101239,0,932733,2761470,"Asian not Arabic ,not Islamic",DIESEL FOR OTHER PURPOSES .,27101239
922,27101239,0,974909,2784702,"African not Arabic,not Islamic",DIESEL FOR OTHER PURPOSES .,27101239
923,27101239,0,236798,721599,North America,DIESEL FOR OTHER PURPOSES .,27101239
924,27101239,0,201489,627359,South America,DIESEL FOR OTHER PURPOSES .,27101239
925,27101239,0,689018,1722601,European Union,DIESEL FOR OTHER PURPOSES .,27101239
926,27101911,0,1180560,2439457,Gulf Cooperation Council,BASE OILS,27101911
927,27101911,0,159065,354397,Other Arab League Countries,BASE OILS,27101911
928,27101911,0,3732265,7446402,"Asian not Arabic ,not Islamic",BASE OILS,27101911
929,27101912,0,2010,11334,Gulf Cooperation Council,LUBRICATING OIL FOR FUEL ENGINE,27101912
930,27101912,0,11997,91288,Other Arab League Countries,LUBRICATING OIL FOR FUEL ENGINE,27101912
931,27101912,0,782,4879,Islamic not Arabic countries,LUBRICATING OIL FOR FUEL ENGINE,27101912
932,27101912,0,84,529,"Asian not Arabic ,not Islamic",LUBRICATING OIL FOR FUEL ENGINE,27101912
933,27101912,0,311,1746,"African not Arabic,not Islamic",LUBRICATING OIL FOR FUEL ENGINE,27101912
934,27101913,0,1899,14605,Gulf Cooperation Council,LUBRICATING OIL FOR DIESEL ENRINES,27101913
