,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الواردات حسب الأصناف والدول,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,Imports by Commodities and Countries,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,الوزن طن,القيمة مليون ريال,,عام,,2020,Year,,Value  (Million S R),Weight Tons,
3,,,,,,,,,,,الصادرات,,إعادة الصادرات,,المجموع,
4,,,,,,,,,,,Exports,,ReExports,,Total,
5,,الفصل,,,رقم البند,,,,,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة
6,,,وصف الفصل,Chapter Description,Item No.,الأصناف,Commodities,,,* سلع ذات وحدات عددية,Weight,Value,Weight,Value,Weight,Value
15466,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,9.5,0.032746,9.5,0.032746
15467,,,,,,,,دول افريقية عدا العربية والاسلامية,"AFRICAN NOT ARABIC,NOT ISLAMIC",,0,0,0.278,0.580003,0.278,0.580003
15468,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,0.085,0.009953,0.085,0.009953
15469,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,0,0,36.295,0.335203,36.295,0.335203
15470,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0.094,0.047565,0,0,0.094,0.047565
15471,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,53.777,2.187127,117.474,0.567158,171.251,2.754285
15472,,,,,85024000,مغيرات دواره كهربائيه,ELECTRIC ROTARY CONVERTERS,,,,19.9,1.196,1.1949999999999998,0.26284100000000005,21.095,1.4588409999999998
15473,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,0,0,0.14,0.062288,0.14,0.062288
15474,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,0.349,0.098718,0.349,0.098718
15475,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,19.9,1.196,0,0,19.9,1.196
15476,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.32,0.052913,0.32,0.052913
15477,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,0,0,0.386,0.048922,0.386,0.048922
15478,,,,,85030000,اجزاء معدة للاستعمال في المحركات والمولدات الكهربائية,"PARTS FOR ELECTRIC MOTORS, GENERATORS OR GENERATING SET",,,,88.048,5.124103,643.739,120.331181,731.787,125.455284
15479,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,66.062,12.005759,66.062,12.005759
15480,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,26.464,5.973817,26.464,5.973817
15481,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,11.92,0.508517,32.4,0.121988,44.32,0.630505
15482,,,,,,,,دول امريكا الجنوبية,SOUTH AMERICA,,76.12,4.615498,0,0,76.12,4.615498
15483,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,165.899,87.242467,165.899,87.242467
15484,,,,,,,,دول اوروبا عدا دول الاتحاد الأوروبي,EUROPE NOT EUROPEAN UNION,,0,0,0.003,0.002959,0.003,0.002959
15485,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,0.008,8.8e-05,352.911,14.984191,352.919,14.984278999999999
15486,,,,,85041000,مثبتات تيار لمصابيح او انابيب التفريغ,BALLASTS FOR DISCHARGE LAMPS OR TUBES,,,,3.1,0.10605,0,0,3.1,0.10605
15487,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,3.1,0.10605,0,0,3.1,0.10605
