,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
3655,0,0,2,Gulf Cooperation Council,TEMPERED SAFETY GLASS FOR TRANSPORTATION,70071100
3656,0,0,0,Other Country Groups,TEMPERED SAFETY GLASS FOR TRANSPORTATION,70071100
3657,0,0,7,Gulf Cooperation Council,OTHER TEMPERED SAFETY GLASS,70071900
3658,0,9,17,Other Arab League Countries,OTHER TEMPERED SAFETY GLASS,70071900
3659,0,1,2,Islamic not Arabic countries,OTHER TEMPERED SAFETY GLASS,70071900
3660,0,2,4,"Asian not Arabic ,not Islamic",OTHER TEMPERED SAFETY GLASS,70071900
3661,0,4,7,"African not Arabic,not Islamic",OTHER TEMPERED SAFETY GLASS,70071900
3662,0,1,4,Australia and Oceania,OTHER TEMPERED SAFETY GLASS,70071900
3663,0,0,1,European Union,OTHER TEMPERED SAFETY GLASS,70071900
3664,0,0,0,Other Country Groups,OTHER TEMPERED SAFETY GLASS,70071900
3665,0,0,1,Gulf Cooperation Council,MULTIPLE-WALLED INSULATING UNITS OF GLASS,70080000
3666,0,0,0,Other Country Groups,MULTIPLE-WALLED INSULATING UNITS OF GLASS,70080000
3667,0,0,1,Other Arab League Countries,UNFRAMED GLASS MIRRORS,70099100
3668,0,0,1,"African not Arabic,not Islamic",UNFRAMED GLASS MIRRORS,70099100
3669,0,0,0,Other Country Groups,UNFRAMED GLASS MIRRORS,70099100
3670,0,2,2,"Asian not Arabic ,not Islamic",AMPOULES,70101000
3671,0,2,4,Australia and Oceania,AMPOULES,70101000
3672,0,1,1,North America,AMPOULES,70101000
3673,0,2,3,South America,AMPOULES,70101000
3674,0,0,0,Other Country Groups,AMPOULES,70101000
3675,0,0,4,Other Arab League Countries,"PLUGS, COVERS",70102000
3676,0,0,0,Other Country Groups,"PLUGS, COVERS",70102000
3677,0,11,19,Gulf Cooperation Council,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3678,0,12,17,Other Arab League Countries,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3679,0,19,26,"Asian not Arabic ,not Islamic",OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3680,0,5,8,"African not Arabic,not Islamic",OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3681,0,12,22,Australia and Oceania,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3682,0,3,6,North America,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3683,0,4,7,South America,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3684,0,19,28,European Union,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3685,0,0,1,Europe not European Union,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3686,0,0,0,Other Country Groups,OTHER BOTTLES AND BEAKERS OF GLASS,70109000
3687,0,1,7,Gulf Cooperation Council,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3688,0,7,25,Other Arab League Countries,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3689,0,0,1,Islamic not Arabic countries,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3690,0,0,1,"Asian not Arabic ,not Islamic",TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3691,0,1,3,"African not Arabic,not Islamic",TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3692,0,0,2,North America,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3693,0,3,9,South America,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3694,0,1,3,European Union,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3695,0,0,0,Other Country Groups,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010
3696,0,1,4,Gulf Cooperation Council,OTHER ARTICLES OF GLASS-CERAMICS,70131090
3697,0,0,0,Other Country Groups,OTHER ARTICLES OF GLASS-CERAMICS,70131090
3698,0,1,3,Gulf Cooperation Council, OTHER DRINKING GLASSES WITH LEG,70132800
3699,0,0,1,Other Country Groups, OTHER DRINKING GLASSES WITH LEG,70132800
3700,0,1,4,Other Arab League Countries,OTHER DRINKING GLASSES OTHER THAN OF GLASS CERAMICS,70133700
3701,0,0,1,"African not Arabic,not Islamic",OTHER DRINKING GLASSES OTHER THAN OF GLASS CERAMICS,70133700
3702,0,0,1,South America,OTHER DRINKING GLASSES OTHER THAN OF GLASS CERAMICS,70133700
3703,0,0,2,Other Country Groups,OTHER DRINKING GLASSES OTHER THAN OF GLASS CERAMICS,70133700
3704,0,1,4,Gulf Cooperation Council, Other Glassware of a kind used for table (other than drinking gl,70134900
3705,0,6,10,Other Arab League Countries, Other Glassware of a kind used for table (other than drinking gl,70134900
3706,0,0,0,Other Country Groups, Other Glassware of a kind used for table (other than drinking gl,70134900
3707,0,0,2,Gulf Cooperation Council,THRUMS,70191200
3708,0,1,4,Other Arab League Countries,THRUMS,70191200
3709,0,0,1,Islamic not Arabic countries,THRUMS,70191200
3710,0,3,7,"Asian not Arabic ,not Islamic",THRUMS,70191200
3711,0,1,4,European Union,THRUMS,70191200
3712,0,0,0,Other Country Groups,THRUMS,70191200
3713,0,0,1,Gulf Cooperation Council,"OTHER OF TUFTS, COMBING FIBERS, FILAMENT, BRAIDS",70191900
3714,0,0,1,Other Arab League Countries,"OTHER OF TUFTS, COMBING FIBERS, FILAMENT, BRAIDS",70191900
3715,0,0,0,Other Country Groups,"OTHER OF TUFTS, COMBING FIBERS, FILAMENT, BRAIDS",70191900
3716,0,1,1,"Asian not Arabic ,not Islamic",MATS OF GLASS FIBERS,70193100
3717,0,0,1,European Union,MATS OF GLASS FIBERS,70193100
3718,0,0,0,Other Country Groups,MATS OF GLASS FIBERS,70193100
3719,0,0,1,Gulf Cooperation Council,"OTHER NONWOVEN MATTRESSES, ETC., OF GLASS FIBERS",70193900
3720,0,1,3,European Union,"OTHER NONWOVEN MATTRESSES, ETC., OF GLASS FIBERS",70193900
3721,0,0,0,Other Country Groups,"OTHER NONWOVEN MATTRESSES, ETC., OF GLASS FIBERS",70193900
3722,0,0,6,Gulf Cooperation Council,FABRICS OF THRUMS,70194000
3723,0,0,0,Other Country Groups,FABRICS OF THRUMS,70194000
3724,0,1,5,Gulf Cooperation Council,WATER TANKS OF GLASS FIBERS,70199020
3725,0,0,5,Other Arab League Countries,WATER TANKS OF GLASS FIBERS,70199020
3726,0,0,0,Other Country Groups,WATER TANKS OF GLASS FIBERS,70199020
3727,0,11,74,Gulf Cooperation Council,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040
3728,0,1,6,Other Arab League Countries,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040
3729,0,0,1,Islamic not Arabic countries,"INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040
3730,0,0,2,"Asian not Arabic ,not Islamic","INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040
3731,0,0,1,"African not Arabic,not Islamic","INSULATION (HEAT, SOUND, ELECTRICITY) OF GLASS FIBERS",70199040
